label,seed,horizon,period,pe,rmse,mae,r2,n,storm_source
storm_no_delay,44,12h,quiet,0.7499001622200012,0.28071343898773193,0.19454041123390198,0.8532708883285522,14716,storm_flag
storm_no_delay,44,45min,high_flux,0.45463889837265015,0.11119018495082855,0.07093978673219681,0.9597780108451843,1577,storm_flag
storm_no_delay,44,6h,high_flux,0.7240587472915649,0.2878532111644745,0.1918911635875702,0.45046865940093994,1577,storm_flag
storm_no_delay,44,12h,high_flux,0.7780745029449463,0.3751331865787506,0.2638546824455261,0.6772085428237915,1577,storm_flag
storm_no_physics,42,45min,all,0.36280906200408936,0.09097472578287125,0.05693507567048073,0.9873563051223755,15766,storm_flag
storm_no_physics,42,6h,all,0.6782656311988831,0.24755053222179413,0.17011785507202148,0.9063182473182678,15766,storm_flag
storm_no_physics,42,12h,all,0.7358521819114685,0.30369430780410767,0.20793281495571136,0.8589680790901184,15766,storm_flag
storm_no_physics,42,45min,storm,0.2902997136116028,0.15223723649978638,0.10498260706663132,0.9752412438392639,1050,storm_flag
storm_no_physics,42,6h,storm,0.6578277349472046,0.3744768500328064,0.27956998348236084,0.8388684391975403,1050,storm_flag
storm_no_physics,42,12h,storm,0.7403454184532166,0.46336641907691956,0.34714147448539734,0.7286372184753418,1050,storm_flag
storm_no_physics,42,45min,quiet,0.3773919343948364,0.08493107557296753,0.05350684002041817,0.9868561029434204,14716,storm_flag
storm_no_physics,42,6h,quiet,0.6816842555999756,0.23589827120304108,0.16230832040309906,0.8971545696258545,14716,storm_flag
storm_no_physics,42,12h,quiet,0.7350107431411743,0.28894859552383423,0.19800014793872833,0.8445355296134949,14716,storm_flag
storm_no_physics,42,45min,high_flux,0.4417291283607483,0.11249852925539017,0.07323087006807327,0.9588258862495422,1577,storm_flag
storm_no_physics,42,6h,high_flux,0.7349169254302979,0.28213292360305786,0.19404034316539764,0.47209256887435913,1577,storm_flag
