account,seed,run_name,epochs,PE_1h,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h,upper_bound
14,49,wider_delay_4.0h_seed49,40,0.9857031370221602,0.09442294389009476,0.8994204081111502,0.25044459104537964,0.852576879271307,0.3032042980194092,4.0
15,50,wider_delay_1.5h_seed50,40,0.9864732198754431,0.09184475988149643,0.9021809116758946,0.2469838261604309,0.858047453090615,0.29752546548843384,1.5
15,50,wider_delay_2.0h_seed50,40,0.9860792477182954,0.09317266196012497,0.9003781548067595,0.24924932420253754,0.85325799484035,0.3025030791759491,2.0
15,50,wider_delay_2.5h_seed50,40,0.9864036856258827,0.09208051860332489,0.8978701495101064,0.2523672878742218,0.8526379440635007,0.3031415045261383,2.5
15,50,wider_delay_3.0h_seed50,40,0.9868772144627627,0.0904628336429596,0.9050433870736173,0.2433432638645172,0.8599738555234352,0.2954997420310974,3.0
15,50,wider_delay_3.5h_seed50,40,0.9862813719537767,0.09249377250671387,0.8999894969611011,0.2497350573539734,0.846578682229916,0.30931103229522705,3.5
15,50,wider_delay_4.0h_seed50,40,0.9864268666959358,0.09200198948383331,0.8995953910596912,0.2502266466617584,0.8550269024403199,0.3006742596626282,4.0
16,51,wider_delay_1.5h_seed51,40,0.9862686941993841,0.09253650158643723,0.8983412510152218,0.2517845630645752,0.8504292409243701,0.3054048418998718,1.5
16,51,wider_delay_2.0h_seed51,40,0.9864537171313492,0.0919109433889389,0.9058140659338598,0.24235373735427856,0.8551963330445262,0.30049851536750793,2.0
16,51,wider_delay_2.5h_seed51,40,0.9853788290432608,0.09548787772655487,0.89714148400085,0.25326597690582275,0.8527352582353688,0.30304139852523804,2.5
16,51,wider_delay_3.0h_seed51,40,0.9865166877420175,0.09169706702232361,0.9092712097590853,0.23786430060863495,0.8682035280565144,0.28668466210365295,3.0
16,51,wider_delay_3.5h_seed51,40,0.9855696046798932,0.09486287087202072,0.9005842908372561,0.24899132549762726,0.8577303725740765,0.2978575825691223,3.5
16,51,wider_delay_4.0h_seed51,40,0.9861076767125959,0.09307748079299927,0.9018024032235713,0.2474612146615982,0.8592272425584216,0.2962864935398102,4.0
